x-coordinate,y-coordinate
1.872584345549027293e-02,4.773989994975240403e-02
1.865231602739476913e-02,4.776868181617778542e-02
1.857873469639483716e-02,4.779732575247599979e-02
1.850511909356853529e-02,4.782588148199268946e-02
1.843146722524666506e-02,4.785434352059263902e-02
1.835776620950797453e-02,4.788267807511732005e-02
1.828400551289202647e-02,4.791085683391033828e-02
1.821020024608556789e-02,4.793891875687562171e-02
1.813636431184948578e-02,4.796689980329712361e-02
1.806249391433671636e-02,4.799478972033596053e-02
1.798858560401442319e-02,4.802257912138503670e-02
1.791463023585891309e-02,4.805024299262243559e-02
1.784061447830743996e-02,4.807774475949646437e-02
1.776656246025596839e-02,4.810514897659635275e-02
1.769248435773867686e-02,4.813248244817514704e-02
1.761835010426779022e-02,4.815966322058597149e-02
1.754416341655818876e-02,4.818670070030039998e-02
1.746993852678301040e-02,4.821363302380588661e-02
1.739568095001237796e-02,4.824047511397436261e-02
1.732138753106928289e-02,4.826721781891488150e-02
1.724705442214640935e-02,4.829385002594110271e-02
1.717268072743011187e-02,4.832036873510104497e-02
1.709825909132985794e-02,4.834675248571906891e-02
1.702379139335848113e-02,4.837300601995250110e-02
1.694929405977764481e-02,4.839917539674781083e-02
1.687475701277222837e-02,4.842523129759427475e-02
1.680017071968435000e-02,4.845114600253471598e-02
1.672554328656338657e-02,4.847694201372349659e-02
1.665087646248010478e-02,4.850262367211573972e-02
1.657617439496210723e-02,4.852820269219866589e-02
1.650144554549505885e-02,4.855370349316907169e-02
1.642666910890879656e-02,4.857906414241739551e-02
1.635183615557398579e-02,4.860425774024434986e-02
1.627697215384320967e-02,4.862935891089550933e-02
1.620208190512300098e-02,4.865438158047941108e-02
1.612715799898175109e-02,4.867930333775561530e-02
1.605219025835562946e-02,4.870409295155690016e-02
1.597717491060658690e-02,4.872873807208855795e-02
1.590211780344783984e-02,4.875325574576709620e-02
1.582703240776437217e-02,4.877768669418768716e-02
1.575191210092786662e-02,4.880200997112083688e-02
1.567675096802588833e-02,4.882620688081339838e-02
1.560155633915252457e-02,4.885029949207341654e-02
1.552632704109710958e-02,4.887428361930359205e-02
1.545105731110589867e-02,4.889814056937387410e-02
1.537574274713808357e-02,4.892185554667580899e-02
1.530039394880732678e-02,4.894546159954522163e-02
1.522501801420535206e-02,4.896898080075313270e-02
1.514960641600132316e-02,4.899238550237006856e-02
1.507414751695619094e-02,4.901563707685915872e-02
1.499864488565813558e-02,4.903874635971772200e-02
1.492312150720681921e-02,4.906178784724116171e-02
1.484756426155023346e-02,4.908471776359842054e-02
1.477196338375797412e-02,4.910750360532840919e-02
1.469633596199456868e-02,4.913020119683554621e-02
1.462067869548703755e-02,4.915279903188130017e-02
1.454498171215708180e-02,4.917526352832041203e-02
1.446924204191911943e-02,4.919758358054115294e-02
1.439347208683250216e-02,4.921980077786353158e-02
1.431767560479915886e-02,4.924192719001650037e-02
1.424183702063322107e-02,4.926390877310305588e-02
1.416596588679659707e-02,4.928577796600907418e-02
1.409007010168848890e-02,4.930756130883647004e-02
1.401413887061648232e-02,4.932922073962529158e-02
1.393817054215700652e-02,4.935074986763744037e-02
1.386216329715810915e-02,4.937214110450743182e-02
1.378611243929967617e-02,4.939337658751263155e-02
1.371004275728810416e-02,4.941454488082464708e-02
1.363395966460563720e-02,4.943566471237944432e-02
1.355782626264146612e-02,4.945660228108390150e-02
1.348165549590031945e-02,4.947740393837986306e-02
1.340546430215116755e-02,4.949813036924372717e-02
2.589425142517562395e-02,4.426341645842712946e-02
2.582607626116343105e-02,4.430325152658425025e-02
2.575782659453151879e-02,4.434295875762105099e-02
2.568952536128098901e-02,4.438257735708322355e-02
2.562117376477915376e-02,4.442210890780685928e-02
2.555273504392609890e-02,4.446148938500976699e-02
2.548423287258807374e-02,4.450075952270424878e-02
2.541568822658876042e-02,4.453995537706087471e-02
2.534708500737159129e-02,4.457904866738451877e-02
2.527841004029132005e-02,4.461801572758292145e-02
2.520967008653715244e-02,4.465686807333552055e-02
2.514088848855908220e-02,4.469564671022799307e-02
2.507203754632521264e-02,4.473430193582263875e-02
2.500310503617530350e-02,4.477281164120500839e-02
2.493412458900595360e-02,4.481123537567754250e-02
2.486510553359921882e-02,4.484958973138867405e-02
2.479603205547740302e-02,4.488784597511267377e-02
2.472687562074113790e-02,4.492595201394385118e-02
2.465765600612244979e-02,4.496394324092678474e-02
2.458839679149569385e-02,4.500186216682175444e-02
2.451909582266384446e-02,4.503970481459437097e-02
2.444972289594276454e-02,4.507741523197661415e-02
2.438027307800762905e-02,4.511498397761671414e-02
2.431078225536428827e-02,4.515247687049620678e-02
2.424123211576056924e-02,4.518985942454430832e-02
2.417161438374773597e-02,4.522711608649400417e-02
2.410195697617397576e-02,4.526429857352447239e-02
2.403223400413143432e-02,4.530135778485359227e-02
2.396243257489884607e-02,4.533826915165582033e-02
2.389258504231841704e-02,4.537509315773424062e-02
2.382270084647731059e-02,4.541184756531909533e-02
2.375276425699174646e-02,4.544850215611465072e-02
2.368274693526675051e-02,4.548500221990825487e-02
2.361267436440769862e-02,4.552139628288837114e-02
2.354255992842063661e-02,4.555770949708640161e-02
2.347237701223187090e-02,4.559389014774004739e-02
2.340214017492968715e-02,4.562996613687190367e-02
2.333186190958447953e-02,4.566596126656341514e-02
